"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 01 16:43:30 GMT 2023","Mon May 01 16:43:31 GMT 2023","927","","com.codecool.vizsgaremek.pages.AboutPageTest","","com.codecool.vizsgaremek.pages.AboutPageTest","memberTest","TC07 - Test team members information","Verify that team members on the About page are displayed correctly."
"passed","Mon May 01 16:41:44 GMT 2023","Mon May 01 16:41:45 GMT 2023","782","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","testLoginFromLandingPageWithInvalidDate","TC06 - Test login from landing page with invalid data","Verify that login fails with invalid credentials from the landing page"
"failed","Mon May 01 16:41:43 GMT 2023","Mon May 01 16:41:44 GMT 2023","1163","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","testLoginFromLandingPage","TC05 - Test login from landing page","Verify that a user can log in from the landing page"
"broken","Mon May 01 16:42:21 GMT 2023","Mon May 01 16:42:53 GMT 2023","31516","","com.codecool.vizsgaremek.pages.HomePageTest","","com.codecool.vizsgaremek.pages.HomePageTest","logoutTest","TC09 - Test for logging out","Verify that logging out and redirecting to the landing page"
"failed","Mon May 01 16:41:40 GMT 2023","Mon May 01 16:41:41 GMT 2023","1266","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","testRegistrationWithInvalidData","TC03 - Test registration with invalid data","Verify that registration with invalid data fails"
"passed","Mon May 01 16:43:24 GMT 2023","Mon May 01 16:43:25 GMT 2023","1154","","com.codecool.vizsgaremek.pages.ContactPageTest","","com.codecool.vizsgaremek.pages.ContactPageTest","contactFormTestValid","TC11 - Contact Form test with valid Data",""
"broken","Mon May 01 16:41:49 GMT 2023","Mon May 01 16:42:21 GMT 2023","31576","","com.codecool.vizsgaremek.pages.HomePageTest","","com.codecool.vizsgaremek.pages.HomePageTest","editProfileTest","TC08 - Test edit a user's profile","Verify the ability to edit profile information"
"passed","Mon May 01 16:41:06 GMT 2023","Mon May 01 16:41:38 GMT 2023","31367","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","urlValidation","TC01 - Test URL validation","Verify that the current URL matches the expected URL"
"failed","Mon May 01 16:41:41 GMT 2023","Mon May 01 16:41:43 GMT 2023","1820","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","testLoginAfterRegistration","TC04 - Test login after successful registration","Verify that a user can log in after successfully registering"
"passed","Mon May 01 16:43:25 GMT 2023","Mon May 01 16:43:29 GMT 2023","3937","","com.codecool.vizsgaremek.pages.ContactPageTest","","com.codecool.vizsgaremek.pages.ContactPageTest","multiplyContactFormTest","TC12 - Test multiply contact form sending",""
"failed","Mon May 01 16:43:29 GMT 2023","Mon May 01 16:43:30 GMT 2023","614","","com.codecool.vizsgaremek.pages.ContactPageTest","","com.codecool.vizsgaremek.pages.ContactPageTest","contactFormTestInvalid","TC13 - Test for contact form with empty fields",""
"passed","Mon May 01 16:41:47 GMT 2023","Mon May 01 16:41:49 GMT 2023","2034","","com.codecool.vizsgaremek.pages.BlogPageTest","","com.codecool.vizsgaremek.pages.BlogPageTest","blogTitleTest","TC15 - Test for all blogposts title","Verify that all blogposts title on the page are displayed on the page"
"passed","Mon May 01 16:41:38 GMT 2023","Mon May 01 16:41:40 GMT 2023","2346","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","testRegistrationWithValidData","TC02 - Registration with valid data","Verify that a user can register successfully with valid data"
"broken","Mon May 01 16:42:53 GMT 2023","Mon May 01 16:43:24 GMT 2023","31452","","com.codecool.vizsgaremek.pages.HomePageTest","","com.codecool.vizsgaremek.pages.HomePageTest","deleteAccountTest","TC10 - Test delete an exist account","This test case verifies if a user can successfully delete their account and the account is no longer accessible afterwards."
"passed","Mon May 01 16:41:45 GMT 2023","Mon May 01 16:41:47 GMT 2023","2084","","com.codecool.vizsgaremek.pages.PortfolioPageTest","","com.codecool.vizsgaremek.pages.PortfolioPageTest","fileTest","TC14 - Test project titles","Verify that project titles on the page are displayed correctly"
