"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 08:15:07 GMT 2023","Fri May 05 08:15:13 GMT 2023","5790","","com.codecool.vizsgaremek.pages.PortfolioPageTest","","com.codecool.vizsgaremek.pages.PortfolioPageTest","fileTest","TC14 - Test project titles","Verify that project titles on the page are displayed correctly"
"passed","Fri May 05 08:15:17 GMT 2023","Fri May 05 08:15:18 GMT 2023","946","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","testLoginFromLandingPageWithInvalidDate","TC06 - Test login from landing page with invalid data","Verify that login fails with invalid credentials from the landing page"
"failed","Fri May 05 08:15:24 GMT 2023","Fri May 05 08:15:24 GMT 2023","628","","com.codecool.vizsgaremek.pages.ContactPageTest","","com.codecool.vizsgaremek.pages.ContactPageTest","contactFormTestInvalid","TC13 - Test for contact form with empty fields",""
"passed","Fri May 05 08:15:21 GMT 2023","Fri May 05 08:15:24 GMT 2023","2817","","com.codecool.vizsgaremek.pages.ContactPageTest","","com.codecool.vizsgaremek.pages.ContactPageTest","multiplyContactFormTest","TC12 - Test multiply contact form sending",""
"passed","Fri May 05 08:15:24 GMT 2023","Fri May 05 08:15:25 GMT 2023","993","","com.codecool.vizsgaremek.pages.AboutPageTest","","com.codecool.vizsgaremek.pages.AboutPageTest","memberTest","TC07 - Test team members information","Verify that team members on the About page are displayed correctly."
"passed","Fri May 05 08:15:20 GMT 2023","Fri May 05 08:15:21 GMT 2023","1113","","com.codecool.vizsgaremek.pages.ContactPageTest","","com.codecool.vizsgaremek.pages.ContactPageTest","contactFormTestValid","TC11 - Contact Form test with valid Data",""
"failed","Fri May 05 08:15:13 GMT 2023","Fri May 05 08:15:14 GMT 2023","1570","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","testRegistrationWithInvalidData","TC03 - Test registration with invalid data","Verify that registration with invalid data fails"
"passed","Fri May 05 08:15:12 GMT 2023","Fri May 05 08:15:13 GMT 2023","1070","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","testRegistrationWithValidData","TC02 - Registration with valid data","Verify that a user can register successfully with valid data"
"passed","Fri May 05 08:15:16 GMT 2023","Fri May 05 08:15:18 GMT 2023","1854","","com.codecool.vizsgaremek.pages.HomePageTest","","com.codecool.vizsgaremek.pages.HomePageTest","logoutTest","TC09 - Test for logging out","Verify that logging out and redirecting to the landing page"
"passed","Fri May 05 08:15:07 GMT 2023","Fri May 05 08:15:12 GMT 2023","4562","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","urlValidation","TC01 - Test URL validation","Verify that the current URL matches the expected URL"
"passed","Fri May 05 08:15:14 GMT 2023","Fri May 05 08:15:16 GMT 2023","1518","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","testLoginAfterRegistration","TC04 - Test login after successful registration","Verify that a user can log in after successfully registering"
"passed","Fri May 05 08:15:16 GMT 2023","Fri May 05 08:15:17 GMT 2023","1183","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","testLoginFromLandingPage","TC05 - Test login from landing page","Verify that a user can log in from the landing page"
"passed","Fri May 05 08:15:18 GMT 2023","Fri May 05 08:15:20 GMT 2023","1976","","com.codecool.vizsgaremek.pages.HomePageTest","","com.codecool.vizsgaremek.pages.HomePageTest","deleteAccountTest","TC10 - Test delete an exist account","This test case verifies if a user can successfully delete their account and the account is no longer accessible afterwards."
"passed","Fri May 05 08:15:18 GMT 2023","Fri May 05 08:15:20 GMT 2023","2288","","com.codecool.vizsgaremek.pages.BlogPageTest","","com.codecool.vizsgaremek.pages.BlogPageTest","blogTitleTest","TC15 - Test for all blogposts title","Verify that all blogposts title on the page are displayed on the page"
"passed","Fri May 05 08:15:13 GMT 2023","Fri May 05 08:15:16 GMT 2023","2572","","com.codecool.vizsgaremek.pages.HomePageTest","","com.codecool.vizsgaremek.pages.HomePageTest","editProfileTest","TC08 - Test edit a user's profile","Verify the ability to edit profile information"
