"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 08:21:20 GMT 2023","Fri May 05 08:21:21 GMT 2023","1135","","com.codecool.vizsgaremek.pages.AboutPageTest","","com.codecool.vizsgaremek.pages.AboutPageTest","memberTest","TC07 - Test team members information","Verify that team members on the About page are displayed correctly."
"passed","Fri May 05 08:21:04 GMT 2023","Fri May 05 08:21:05 GMT 2023","916","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","testLoginFromLandingPage","TC05 - Test login from landing page","Verify that a user can log in from the landing page"
"passed","Fri May 05 08:21:12 GMT 2023","Fri May 05 08:21:13 GMT 2023","1371","","com.codecool.vizsgaremek.pages.HomePageTest","","com.codecool.vizsgaremek.pages.HomePageTest","logoutTest","TC09 - Test for logging out","Verify that logging out and redirecting to the landing page"
"passed","Fri May 05 08:20:58 GMT 2023","Fri May 05 08:21:01 GMT 2023","2382","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","testRegistrationWithValidData","TC02 - Registration with valid data","Verify that a user can register successfully with valid data"
"passed","Fri May 05 08:21:02 GMT 2023","Fri May 05 08:21:04 GMT 2023","1983","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","testLoginAfterRegistration","TC04 - Test login after successful registration","Verify that a user can log in after successfully registering"
"passed","Fri May 05 08:21:15 GMT 2023","Fri May 05 08:21:16 GMT 2023","1024","","com.codecool.vizsgaremek.pages.ContactPageTest","","com.codecool.vizsgaremek.pages.ContactPageTest","contactFormTestValid","TC11 - Contact Form test with valid Data",""
"passed","Fri May 05 08:21:16 GMT 2023","Fri May 05 08:21:19 GMT 2023","3719","","com.codecool.vizsgaremek.pages.ContactPageTest","","com.codecool.vizsgaremek.pages.ContactPageTest","multiplyContactFormTest","TC12 - Test multiply contact form sending",""
"failed","Fri May 05 08:21:01 GMT 2023","Fri May 05 08:21:02 GMT 2023","1333","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","testRegistrationWithInvalidData","TC03 - Test registration with invalid data","Verify that registration with invalid data fails"
"passed","Fri May 05 08:21:10 GMT 2023","Fri May 05 08:21:12 GMT 2023","1669","","com.codecool.vizsgaremek.pages.HomePageTest","","com.codecool.vizsgaremek.pages.HomePageTest","editProfileTest","TC08 - Test edit a user's profile","Verify the ability to edit profile information"
"passed","Fri May 05 08:21:05 GMT 2023","Fri May 05 08:21:06 GMT 2023","710","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","testLoginFromLandingPageWithInvalidDate","TC06 - Test login from landing page with invalid data","Verify that login fails with invalid credentials from the landing page"
"passed","Fri May 05 08:20:25 GMT 2023","Fri May 05 08:20:58 GMT 2023","33163","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","","com.codecool.vizsgaremek.pages.RegisterAndLoginTest","urlValidation","TC01 - Test URL validation","Verify that the current URL matches the expected URL"
"passed","Fri May 05 08:21:08 GMT 2023","Fri May 05 08:21:10 GMT 2023","2141","","com.codecool.vizsgaremek.pages.BlogPageTest","","com.codecool.vizsgaremek.pages.BlogPageTest","blogTitleTest","TC15 - Test for all blogposts title","Verify that all blogposts title on the page are displayed on the page"
"passed","Fri May 05 08:21:13 GMT 2023","Fri May 05 08:21:15 GMT 2023","1658","","com.codecool.vizsgaremek.pages.HomePageTest","","com.codecool.vizsgaremek.pages.HomePageTest","deleteAccountTest","TC10 - Test delete an exist account","This test case verifies if a user can successfully delete their account and the account is no longer accessible afterwards."
"failed","Fri May 05 08:21:19 GMT 2023","Fri May 05 08:21:20 GMT 2023","563","","com.codecool.vizsgaremek.pages.ContactPageTest","","com.codecool.vizsgaremek.pages.ContactPageTest","contactFormTestInvalid","TC13 - Test for contact form with empty fields",""
"passed","Fri May 05 08:21:06 GMT 2023","Fri May 05 08:21:08 GMT 2023","2127","","com.codecool.vizsgaremek.pages.PortfolioPageTest","","com.codecool.vizsgaremek.pages.PortfolioPageTest","fileTest","TC14 - Test project titles","Verify that project titles on the page are displayed correctly"
